"beta","species","dist","n","R0i","se"
"B2",1,1.75,10,0.526315789473684,0
"B2",1,1.9,10,0.515496248638267,0.0013555992430869
"B2",1,2,10,0.50405934321373,0.00168458273320052
"B2",1,2.29,10,0.472960812995102,0.00382773562118093
"B2",1,3,10,0.116836953256532,0.00726790289123234
"B2",2,1.75,10,0.420670735530967,0.00362618872477016
"B2",2,1.9,10,0.408232181556316,0.0036653112996894
"B2",2,2,10,0.385110835649284,0.00586128729992158
"B2",2,2.29,10,0.337534484746126,0.0052654517394631
"B2",2,3,10,0.0411890949863075,0.00425571621735172
"B2",3,1.75,10,0.263610761669501,0.0053241863181755
"B2",3,1.9,10,0.248032478229646,0.00943735008680173
"B2",3,2,10,0.234092228910845,0.00937172356629025
"B2",3,2.29,10,0.165644803391329,0.00699599845990678
"B2",3,3,10,0.0118302636683823,0.00203337580233396
"B2",4,1.75,10,0.155017946729244,0.00462078892578744
"B2",4,1.9,10,0.125391258041271,0.00726196370088118
"B2",4,2,10,0.112953476821754,0.00592657241554215
"B2",4,2.29,10,0.0736517505430899,0.00484308981797724
"B2",4,3,10,0.00427648853732081,0.00087070827063563
"B2",5,1.75,10,0.011808246918502,0.000813710017681973
"B2",5,1.9,10,0.00920896145897993,0.000999439637030947
"B2",5,2,10,0.0093094808924847,0.000817672721282612
"B2",5,2.29,10,0.00573270423556029,0.000839400182991104
"B2",5,3,10,0,0
"B2",6,1.75,10,0,0
"B2",6,1.9,10,0,0
"B2",6,2,10,0,0
"B2",6,2.29,10,0,0
"B2",6,3,10,0,0
"B3",1,1.75,10,0.526315789473684,0
"B3",1,1.9,10,0.514658102176088,0.00157013545696381
"B3",1,2,10,0.504406379237007,0.00282103919698951
"B3",1,2.29,10,0.467242958238231,0.00506043030912398
"B3",1,3,10,0.10116466557069,0.00546832707015809
"B3",2,1.75,10,0.0572094957109819,0.00339756096624391
"B3",2,1.9,10,0.043961598899249,0.00249692820572388
"B3",2,2,10,0.0406714995633317,0.00208016993272413
"B3",2,2.29,10,0.025740365609259,0.00222242526186343
"B3",2,3,10,0.00105750690212251,0.000379442092652233
"B3",3,1.75,10,0.0120111951142597,0.000882307098952421
"B3",3,1.9,10,0.0106178590146081,0.00110114566526366
"B3",3,2,10,0.0086658730417391,0.000544372264541717
"B3",3,2.29,10,0.00467363138697535,0.000588648965259397
"B3",3,3,10,0,0
"B3",4,1.75,10,0,0
"B3",4,1.9,10,0,0
"B3",4,2,10,0,0
"B3",4,2.29,10,0,0
"B3",4,3,10,0,0
"B3",5,1.75,10,0,0
"B3",5,1.9,10,0,0
"B3",5,2,10,0,0
"B3",5,2.29,10,0,0
"B3",5,3,10,0,0
"B3",6,1.75,10,0,0
"B3",6,1.9,10,0,0
"B3",6,2,10,0,0
"B3",6,2.29,10,0,0
"B3",6,3,10,0,0
